ts_utc,run_id,query_id,retrieval_system,rank_position,publication_number,family_id,score
2026-04-06T17:49:04.352583+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,1,EP3825599A1,69845166,59.406143
2026-04-06T17:49:04.352620+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,2,US11118738B1,74251686,20.685947
2026-04-06T17:49:04.352655+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,3,EP4446650A1,81787999,18.692896
2026-04-06T17:49:04.352679+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,4,US2022003386A1,68033961,18.669838
2026-04-06T17:49:04.352703+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,5,US2021372574A1,74250727,17.41486
2026-04-06T17:49:04.352720+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,6,EP3832203A1,70008243,17.196096
2026-04-06T17:49:04.352737+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,7,EP4673683A1,89942571,16.455595
2026-04-06T17:49:04.352753+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,8,US2025230924A1,83902952,16.273647
2026-04-06T17:49:04.352770+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,9,EP3888886A1,70108112,15.2508745
2026-04-06T17:49:04.352786+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,bm25,10,WO2021224134A1,70740425,13.571975
2026-04-06T18:00:44.736926+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,1,EP3825599A1,69845166,59.406143
2026-04-06T18:00:44.737006+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,2,US11118738B1,74251686,20.685947
2026-04-06T18:00:44.737039+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,3,EP4446650A1,81787999,18.692896
2026-04-06T18:00:44.737067+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,4,US2022003386A1,68033961,18.669838
2026-04-06T18:00:44.737094+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,5,US2021372574A1,74250727,17.41486
2026-04-06T18:00:44.737120+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,6,EP3832203A1,70008243,17.196096
2026-04-06T18:00:44.737149+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,7,EP4673683A1,89942571,16.455595
2026-04-06T18:00:44.737174+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,8,US2025230924A1,83902952,16.273647
2026-04-06T18:00:44.737197+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,9,EP3888886A1,70108112,15.2508745
2026-04-06T18:00:44.737220+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,bm25,10,WO2021224134A1,70740425,13.571975
2026-04-06T20:16:41.233789+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,1,EP4354016A1,78284617,20.774015
2026-04-06T20:16:41.233877+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,2,EP4673683A1,89942571,20.469915
2026-04-06T20:16:41.233925+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,3,WO2021236662A1,78707537,19.589333
2026-04-06T20:16:41.233980+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,4,EP3825599A1,69845166,17.281073
2026-04-06T20:16:41.234017+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,5,US2023220973A1,76958987,17.071398
2026-04-06T20:16:41.234050+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,6,WO2021247935A1,78829950,16.923882
2026-04-06T20:16:41.234092+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,7,WO2021261841A1,79281565,16.90352
2026-04-06T20:16:41.234139+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,8,US2021408110A1,73700133,15.766315
2026-04-06T20:16:41.234171+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,9,WO2021254068A1,78912022,14.944922
2026-04-06T20:16:41.234201+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,bm25,10,US2021329762A1,78081021,14.744948
2026-04-06T20:38:16.821244+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,1,EP4354016A1,78284617,20.774015
2026-04-06T20:38:16.821417+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,2,EP4673683A1,89942571,20.469915
2026-04-06T20:38:16.821474+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,3,WO2021236662A1,78707537,19.589333
