ipc_code_raw,hierarchy_level_raw,title_text,source_file
A,,HUMAN NECESSITIES,EN_ipc_section_A_title_list_20260101.txt
A01,,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING,EN_ipc_section_A_title_list_20260101.txt
A01B,,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL (making or covering furrows or holes for sowing, planting or manuring A01C0005000000; mowers convertible to soil working apparatus or capable of soil working A01D0042040000; mowers combined with soil working implements A01D0043120000; soil working for engineering purposes E01, E02, E21)",EN_ipc_section_A_title_list_20260101.txt
A01B0001000000,,Hand tools (edge trimmers for lawns A01G0003060000),EN_ipc_section_A_title_list_20260101.txt
A01B0001020000,,Spades; Shovels,EN_ipc_section_A_title_list_20260101.txt
A01B0001040000,,with teeth,EN_ipc_section_A_title_list_20260101.txt
A01B0001060000,,Hoes; Hand cultivators,EN_ipc_section_A_title_list_20260101.txt
A01B0001080000,,with a single blade,EN_ipc_section_A_title_list_20260101.txt
A01B0001100000,,with two or more blades,EN_ipc_section_A_title_list_20260101.txt
A01B0001120000,,with blades provided with teeth,EN_ipc_section_A_title_list_20260101.txt
A01B0001140000,,with teeth only,EN_ipc_section_A_title_list_20260101.txt
A01B0001160000,,Tools for uprooting weeds,EN_ipc_section_A_title_list_20260101.txt
A01B0001180000,,Tong-like tools,EN_ipc_section_A_title_list_20260101.txt
A01B0001200000,,Combinations of different kinds of hand tools,EN_ipc_section_A_title_list_20260101.txt
A01B0001220000,,Attaching the blades or the like to handles; Interchangeable or adjustable blades,EN_ipc_section_A_title_list_20260101.txt
A01B0001240000,,for treating meadows or lawns,EN_ipc_section_A_title_list_20260101.txt
A01B0003000000,,Ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003020000,,Man-driven ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003040000,,Animal-drawn ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003060000,,"without alternating possibility, i.e. incapable of making an adjacent furrow on return journey",EN_ipc_section_A_title_list_20260101.txt
A01B0003080000,,Swing ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003100000,,Trussed-beam ploughs; Single-wheel ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003120000,,Two-wheel beam ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003140000,,Frame ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003160000,,"Alternating ploughs, i.e. capable of making an adjacent furrow on return journey",EN_ipc_section_A_title_list_20260101.txt
A01B0003180000,,Turn-wrest ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003200000,,Balance ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003220000,,with parallel plough units used alternately,EN_ipc_section_A_title_list_20260101.txt
A01B0003240000,,Tractor-drawn ploughs (A01B0003040000 takes precedence),EN_ipc_section_A_title_list_20260101.txt
A01B0003260000,,without alternating possibility,EN_ipc_section_A_title_list_20260101.txt
A01B0003280000,,Alternating ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003300000,,Turn-wrest ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003320000,,Balance ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003340000,,with parallel plough units used alternately,EN_ipc_section_A_title_list_20260101.txt
A01B0003360000,,Ploughs mounted on tractors,EN_ipc_section_A_title_list_20260101.txt
A01B0003380000,,without alternating possibility,EN_ipc_section_A_title_list_20260101.txt
A01B0003400000,,Alternating ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003420000,,Turn-wrest ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003421000,,with a headstock frame made in one piece,EN_ipc_section_A_title_list_20260101.txt
A01B0003426000,,with a headstock frame made of two or more parts,EN_ipc_section_A_title_list_20260101.txt
A01B0003440000,,with parallel plough units used alternately,EN_ipc_section_A_title_list_20260101.txt
A01B0003460000,,Ploughs supported partly by tractor and partly by their own wheels,EN_ipc_section_A_title_list_20260101.txt
A01B0003500000,,Self-propelled ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003520000,,"with three or more wheels, or endless tracks",EN_ipc_section_A_title_list_20260101.txt
A01B0003540000,,without alternating possibility,EN_ipc_section_A_title_list_20260101.txt
A01B0003560000,,Alternating ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003580000,,with two wheels,EN_ipc_section_A_title_list_20260101.txt
A01B0003600000,,Alternating ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003620000,,Balance ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0003640000,,Cable ploughs; Indicating or signalling devices for cable plough systems,EN_ipc_section_A_title_list_20260101.txt
A01B0003660000,,with motor-driven winding apparatus mounted on the plough,EN_ipc_section_A_title_list_20260101.txt
A01B0003680000,,Cable systems with one or two engines,EN_ipc_section_A_title_list_20260101.txt
A01B0003700000,,Systems with one engine for working uphill,EN_ipc_section_A_title_list_20260101.txt
A01B0003720000,,Means for anchoring the cables,EN_ipc_section_A_title_list_20260101.txt
A01B0003740000,,Use of electric power for propelling ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0005000000,,"Ploughs with rolling non-driven tools, e.g. discs",EN_ipc_section_A_title_list_20260101.txt
A01B0005020000,,drawn by animals,EN_ipc_section_A_title_list_20260101.txt
A01B0005040000,,drawn by tractors,EN_ipc_section_A_title_list_20260101.txt
A01B0005060000,,without alternating possibility,EN_ipc_section_A_title_list_20260101.txt
A01B0005080000,,Alternating ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0005100000,,mounted or partly-mounted on tractors,EN_ipc_section_A_title_list_20260101.txt
A01B0005120000,,without alternating possibility,EN_ipc_section_A_title_list_20260101.txt
A01B0005140000,,Alternating ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0005160000,,Self-propelled disc or like ploughs,EN_ipc_section_A_title_list_20260101.txt
A01B0007000000,,"Disc-like soil-working implements usable either as ploughs or as harrows, or the like",EN_ipc_section_A_title_list_20260101.txt
A01B0009000000,,Ploughs with rotary driven tools (tilling implements with rotary driven tools A01B0033000000),EN_ipc_section_A_title_list_20260101.txt
A01B0011000000,,"Ploughs with oscillating, digging or piercing tools",EN_ipc_section_A_title_list_20260101.txt
A01B0013000000,,Ploughs or like machines for special purposes (for drainage E02B0011020000),EN_ipc_section_A_title_list_20260101.txt
A01B0013020000,,"for making or working ridges, e.g. with symmetrically arranged mouldboards",EN_ipc_section_A_title_list_20260101.txt
A01B0013040000,,"for working in vineyards, orchards, or the like",EN_ipc_section_A_title_list_20260101.txt
A01B0013060000,,"Arrangements for preventing damage to the vines, or the like",EN_ipc_section_A_title_list_20260101.txt
A01B0013080000,,for working subsoil,EN_ipc_section_A_title_list_20260101.txt
A01B0013100000,,Special implements for lifting subsoil layers,EN_ipc_section_A_title_list_20260101.txt
A01B0013120000,,Means for distributing the layers on the surface,EN_ipc_section_A_title_list_20260101.txt
A01B0013140000,,for working soil in two or more layers,EN_ipc_section_A_title_list_20260101.txt
A01B0013160000,,"Machines for combating erosion, e.g. basin-diggers, furrow-dammers",EN_ipc_section_A_title_list_20260101.txt
A01B0015000000,,"Elements, tools, or details of ploughs",EN_ipc_section_A_title_list_20260101.txt
A01B0015020000,,Plough blades; Fixing the blades,EN_ipc_section_A_title_list_20260101.txt
A01B0015040000,,Shares,EN_ipc_section_A_title_list_20260101.txt
A01B0015060000,,Interchangeable or adjustable shares,EN_ipc_section_A_title_list_20260101.txt
A01B0015080000,,Mouldboards,EN_ipc_section_A_title_list_20260101.txt
A01B0015100000,,Interchangeable or adjustable mouldboards,EN_ipc_section_A_title_list_20260101.txt
A01B0015120000,,Beams; Handles,EN_ipc_section_A_title_list_20260101.txt
A01B0015140000,,Frames (means or arrangements to facilitate transportation A01B0073000000),EN_ipc_section_A_title_list_20260101.txt
A01B0015160000,,Discs; Scrapers for cleaning discs; Sharpening attachments,EN_ipc_section_A_title_list_20260101.txt
A01B0015180000,,Coulters,EN_ipc_section_A_title_list_20260101.txt
A01B0015200000,,"Special adjusting means for tools of ploughs drawn by, or mounted on tractors working on hillsides or slopes",EN_ipc_section_A_title_list_20260101.txt
A01B0017000000,,"Ploughs with special additional arrangements, e.g. means for putting manure under the soil, clod-crushers",EN_ipc_section_A_title_list_20260101.txt
A01B0019000000,,Harrows,EN_ipc_section_A_title_list_20260101.txt
A01B0019020000,,with tools rigidly or elastically attached to a tool-frame,EN_ipc_section_A_title_list_20260101.txt
A01B0019040000,,with two or more tool-frames,EN_ipc_section_A_title_list_20260101.txt
A01B0019060000,,with tools or tool-frames moved to-and-fro mechanically,EN_ipc_section_A_title_list_20260101.txt
A01B0019080000,,with link network supporting tooth-like tools,EN_ipc_section_A_title_list_20260101.txt
A01B0019100000,,Lifting or cleaning apparatus,EN_ipc_section_A_title_list_20260101.txt
A01B0021000000,,Harrows with rotary non-driven tools,EN_ipc_section_A_title_list_20260101.txt
A01B0021020000,,with tooth-like tools,EN_ipc_section_A_title_list_20260101.txt
A01B0021040000,,on horizontally-arranged axles,EN_ipc_section_A_title_list_20260101.txt
A01B0021060000,,on vertically-arranged axles,EN_ipc_section_A_title_list_20260101.txt
A01B0021080000,,with disc-like tools,EN_ipc_section_A_title_list_20260101.txt
A01B0023000000,,"Elements, tools, or details of harrows",EN_ipc_section_A_title_list_20260101.txt
A01B0023020000,,Teeth; Fixing the teeth,EN_ipc_section_A_title_list_20260101.txt
